location,city,prov_or_state,country,count
"Vancouver, BC, Canada",Vancouver,BC,Canada,57
"Toronto, ON, Canada",Toronto,ON,Canada,31
"Ottawa, ON, Canada",Ottawa,ON,Canada,26
"Kitchener, ON, Canada",Kitchener,ON,Canada,21
"Edmonton, AB, Canada",Edmonton,AB,Canada,19
"Victoria, BC, Canada",Victoria,BC,Canada,15
"Calgary, AB, Canada",Calgary,AB,Canada,15
"Montreal, QC, Canada",Montreal,QC,Canada,13
"Gatineau, QC, Canada",Gatineau,QC,Canada,12
"London, ON, Canada",London,ON,Canada,11
"Guelph, ON, Canada",Guelph,ON,Canada,9
"Hamilton, ON, Canada",Hamilton,ON,Canada,9
"Halifax, NS, Canada",Halifax,NS,Canada,7
"Burnaby, BC, Canada",Burnaby,BC,Canada,7
"Coquitlam, BC, Canada",Coquitlam,BC,Canada,7
"Moscow, ID, United States",Moscow,ID,United States,7
"Regina, SK, Canada",Regina,SK,Canada,7
"Lethbridge, AB, Canada",Lethbridge,AB,Canada,6
"New Westminster, BC, Canada",New Westminster,BC,Canada,5
"Fredericton, NB, Canada",Fredericton,NB,Canada,5
"Kamloops, BC, Canada",Kamloops,BC,Canada,4
"St. Catharines, ON, Canada",St. Catharines,ON,Canada,4
"Winnipeg, MB, Canada",Winnipeg,MB,Canada,4
"Saskatoon, SK, Canada",Saskatoon,SK,Canada,4
"Surrey, BC, Canada",Surrey,BC,Canada,4
"Prince George, BC, Canada",Prince George,BC,Canada,3
"Nanaimo, BC, Canada",Nanaimo,BC,Canada,3
"Québec, QC, Canada",Québec,QC,Canada,3
"Oakville, ON, Canada",Oakville,ON,Canada,3
"Duncan, BC, Canada",Duncan,BC,Canada,2
"North Vancouver, BC, Canada",North Vancouver,BC,Canada,2
"Waterloo, ON, Canada",Waterloo,ON,Canada,2
"Philadelphia, PA, United States",Philadelphia,PA,United States,2
"South Orange, NJ, United States",South Orange,NJ,United States,2
"Windsor, ON, Canada",Windsor,ON,Canada,2
Canada,,,Canada,2
"Kingston, ON, Canada",Kingston,ON,Canada,2
"East Lansing, MI, United States",East Lansing,MI,United States,2
"Denver, CO, United States",Denver,CO,United States,2
"Providence, RI, United States",Providence,RI,United States,2
"Kelowna, BC, Canada",Kelowna,BC,Canada,2
"Hawkesbury, ON, Canada",Hawkesbury,ON,Canada,2
"Sydney, NS, Canada",Sydney,NS,Canada,2
"Oshawa, ON, Canada",Oshawa,ON,Canada,2
"Portland, OR, United States",Portland,OR,United States,2
"Durham, NC, United States",Durham,NC,United States,2
"Waterville, ME, United States",Waterville,ME,United States,2
"Miami, FL, United States",Miami,FL,United States,2
"Abbotsford, BC, Canada",Abbotsford,BC,Canada,2
"Burlington, ON, Canada",Burlington,ON,Canada,2
"Mississauga, ON, Canada",Mississauga,ON,Canada,1
"Orleans, ON, Canada",Orleans,ON,Canada,1
"Sherbrooke, QC, Canada",Sherbrooke,QC,Canada,1
"Santa Monica, CA, United States",Santa Monica,CA,United States,1
"Springfield, NE, United States",Springfield,NE,United States,1
"Durban, South Africa",Durban,,South Africa,1
